time,station,waiting_passengers
18:48,YAT,10683
18:49,YAT,10689
18:50,YAT,10699
18:51,LHP,13937
18:51,MEF,10256
18:51,YAT,10708
18:52,CEN,11369
18:52,DIS,12977
18:52,KET,12793
18:52,LHP,13945
18:52,MEF,10260
18:52,SHM,12432
18:52,SWH,12589
18:52,TWW,12139
18:52,WCH,12763
18:52,YAT,10722
18:53,ADM,9737
18:53,CEN,11375
18:53,CKT,12501
18:53,CSW,11844
18:53,DIH,10733
18:53,DIS,12989
18:53,FAN,12497
18:53,KET,12800
18:53,KWH,12667
18:53,KWT,12096
18:53,LHP,13956
18:53,LOW,13464
18:53,MEF,10268
18:53,PRE,9973
18:53,SHM,12448
18:53,SWH,12598
18:53,TSY,11900
18:53,TWW,12144
18:53,WCH,12776
18:53,YAT,10732
18:54,ADM,9743
18:54,AWE,13481
18:54,CAB,11837
18:54,CEN,11379
18:54,CIO,12545
18:54,CKT,12510
18:54,CSW,11860
18:54,DIH,10746
18:54,DIS,13002
18:54,FAN,12508
18:54,HAH,13006
18:54,HOM,11849
18:54,KET,12809
18:54,KOW,12763
18:54,KWH,12683
18:54,KWT,12114
18:54,LHP,13968
18:54,LOW,13474
18:54,MEF,10271
18:54,NTK,11899
18:54,QUB,11035
18:54,SHM,12458
18:54,SHT,12149
18:54,SSP,11727
18:54,SWH,12605
18:54,TSY,11913
18:54,TUC,13303
18:54,TWW,12158
18:54,WCH,12777
18:54,YAT,10738
18:55,ADM,9747
18:55,AWE,13492
18:55,CAB,11848
18:55,CEN,11393
18:55,CIO,12561
18:55,CKT,12519
18:55,CSW,11868
18:55,DIH,10761
18:55,DIS,13013
18:55,FAN,12520
18:55,FOT,12012
18:55,HAH,13014
18:55,HEO,12729
18:55,HIK,12581
18:55,HOM,11869
18:55,KET,12825
18:55,KOW,12777
18:55,KWH,12694
18:55,KWT,12124
18:55,LCK,11723
18:55,LHP,13979
18:55,LOF,11890
18:55,LOW,13490
18:55,MEF,10285
18:55,MKK,12033
18:55,MOS,13128
18:55,NTK,11906
18:55,PRE,9975
18:55,QUB,11045
18:55,SHM,12466
18:55,SHT,12159
18:55,SIH,13139
18:55,SKM,11833
18:55,SOH,13104
18:55,SSP,11734
18:55,STW,12544
18:55,SUN,13099
18:55,SWH,12616
18:55,TIH,11821
18:55,TSW,12819
18:55,TSY,11922
18:55,TUC,13315
18:55,TUM,13180
18:55,TWW,12167
