stop,name_en,name_tc,name_sc,lat,long
18492910339410B1,CHUK YUEN ESTATE BUS TERMINUS,竹園邨總站,竹园邨总站,22.345415,114.192640
9ED7E93749ABAE67,RAINBOW PRIMARY SCHOOL,天虹小學,天虹小学,22.345076,114.190023
9583BCF159B682BA,MA CHAI HANG RECREATION GROUND,馬仔坑遊樂場,马仔坑游乐场,22.344296,114.187763
D360B3EBF155C15A,MORSE PARK,摩士公園,摩士公园,22.339876,114.189506
713BF17AF24FE4DA,MORSE PARK SPORTS CENTRE,摩士公園體育館,摩士公园体育馆,22.338347,114.189704
7C4E16F4A138B142,WAI TUNG HOUSE,偉東樓,伟东楼,22.335816,114.191616
A47333D8B495F77D,YING TUNG HOUSE,盈東樓,盈东楼,22.334044,114.191109
946C74E30100FE80,KOWLOON WALLED CITY PARK,九龍寨城公園,九龙寨城公园,22.332261,114.187981
C8203D267CECF949,CARPENTER ROAD,賈炳達道,贾炳达道,22.330135,114.187112
DB581AD59964EA41,PRINCE EDWARD ROAD WEST,太子道西,太子道西,22.328025,114.187038
9DBBC71CB1578A87,LA SALLE ROAD,喇沙利道,喇沙利道,22.326473,114.183159
312CD2A987AA2773,EARL STREET,伯爵街,伯爵街,22.325975,114.180423
40E8A4AA35AEB18A,KNIGHT STREET,勵德街,励德街,22.325359,114.176886
60F1DDDCB555E319,DIOCESAN BOYS' SCHOOL,拔萃男書院,拔萃男书院,22.324949,114.174484
65B934D14EA190F1,HEEP WOH PRIMARY SCHOOL,協和小學,协和小学,22.324613,114.172570
F7CAA2D4FF9D61F7,PRINCE EDWARD STATION,太子站,太子站,22.324126,114.169855
6AB438AD3AE100DD,NELSON STREET MONG KOK (S16),旺角奶路臣街 (S16),旺角奶路臣街 (S16),22.318603,114.169603
456320D47FFB5B1A,SOY STREET MONG KOK (S24),旺角豉油街 (S24),旺角豉油街 (S24),22.316174,114.170140
5EEA801CA265E5C1,WING SING LANE YAU MA TEI (S33),油麻地永星里 (S33),油麻地永星里 (S33),22.311527,114.171044
5241470E37FA628F,CHEONG LOK STREET YAU MA TEI (S43),油麻地長樂街 (S43),油麻地长乐街 (S43),22.306710,114.171641
A6AED77D365E7011,TAK SHING STREET TSIM SHA TSUI (S46),尖沙咀德成街 (S46),尖沙咀德成街 (S46),22.304530,114.171826
1DEB855D55528B03,CAMERON ROAD (S51),金馬倫道 (S51),金马伦道 (S51),22.298979,114.172114
11A1269F9B78F269,TSIM SHA TSUI BBI - MIDDLE ROAD (S53),尖沙咀轉車站 - 中間道 (S53),尖沙咀转车站 - 中间道 (S53),22.295877,114.172442
